Name,Smin,Smax,Smed,SSD,Nobs,B-V,logRhk,Age,I10,C,SimbadName,_RA,_DE
"HD 18632",0.673,0.765,0.728,0.02275,34,0.906,-4.305,0.06,1,0,"HD 18632  ",45.01172,7.74975
"HD 20165",0.1733,0.2496,0.2055,0.01953,80,0.832,-4.882,3.63,1,1,"HD 20165  ",48.69678,8.98079
"HIP15904",0.1775,0.1847,0.1808,0.00248,8,0.591,-4.857,3.31,1,0,"HIP15904  ",51.20984,12.25658
"HD 16160",0.1867,0.2573,0.226,0.01494,157,0.954,-4.93,4.33,1,1,"HD 16160  ",39.02042,6.88677
"HD 17230",0.62,0.8766,0.7868,0.05004,71,1.206,-4.728,2.08,1,1,"HD 17230  ",41.57199,11.77524
"HD 16275",0.1619,0.1717,0.1643,0.00279,13,0.655,-4.972,5.05,1,0,"HD 16275  ",39.27352,12.9019
"HD 17660",0.8094,0.9828,0.8685,0.04611,13,1.154,-4.6,1.33,1,0,"HD 17660  ",42.65372,15.70991
"HD 24496",0.1597,0.2069,0.1799,0.00925,220,0.684,-4.902,3.91,1,1,"HD 24496  ",58.61681,16.61605
"HD 24040",0.1494,0.1544,0.1523,9.7E-4,81,0.647,-5.046,6.58,1,0,"HD 24040  ",57.5957,17.47637
"HD 25825",0.3261,0.362,0.3408,0.00922,23,0.58,-4.398,0.39,1,0,"HD 25825  ",61.5672,15.69812
"HD 22072",0.1353,0.1406,0.1384,0.0012,24,0.858,-5.162,9.61,1,0,"HD 22072  ",53.53491,17.83283
"HD 21774",0.141,0.1454,0.143,0.0015,14,0.675,-5.122,8.48,1,0,"HD 21774  ",52.81426,20.76808
"HD 24213",0.1551,0.1739,0.1587,0.00417,23,0.572,-4.977,5.15,1,0,"HD 24213  ",58.04749,25.16308
"HD 13997",0.1629,0.2025,0.184,0.00996,11,0.759,-4.917,4.14,1,0,"HD 13997  ",34.11555,12.37977
"HD 10697",0.1466,0.1586,0.1535,0.00271,36,0.681,-5.047,6.6,1,0,"HD 10697  ",26.23261,20.08315
"HD 10476",0.1724,0.2241,0.1926,0.00798,180,0.801,-4.905,3.96,1,1,"HD 10476  ",25.62401,20.26851
"HD 12846",0.1654,0.1691,0.1675,7.6E-4,122,0.613,-4.937,4.45,1,0,"HD 12846  ",31.62601,24.33399
"HD 12661",0.1536,0.1599,0.1585,0.00107,60,0.704,-5.022,6.04,1,0,"HD 12661  ",31.14287,25.41431
"GL109",0.7033,1.244,0.8217,0.10669,36,1.382,-4.988,5.36,1,0,"GL109     ",41.06462,25.52337
"HD 17190",0.1972,0.2452,0.2177,0.01401,17,0.793,-4.82,2.88,1,0,"HD 17190  ",41.56336,25.6499
"HD 17382",0.3846,0.4648,0.4242,0.02027,40,0.788,-4.433,0.55,1,0,"HD 17382  ",42.03813,27.06864
"HD 18803",0.1657,0.2066,0.1802,0.00785,156,0.683,-4.9,3.88,1,1,"HD 18803  ",45.60844,26.60924
"HD 18143",0.1471,0.1914,0.1661,0.0109,74,0.984,-5.12,8.42,1,1,"HD 18143  ",43.91275,26.87322
"HD 15335",0.1458,0.1505,0.1477,0.00119,28,0.58,-5.061,6.92,1,0,"HD 15335  ",37.20206,29.93176
"HD 16397",0.1723,0.1782,0.1749,0.00138,16,0.541,-4.869,3.46,1,0,"HD 16397  ",39.61609,30.81663
"HD 19308",0.1551,0.1638,0.1578,0.00199,47,0.633,-5.005,5.68,1,1,"HD 19308  ",46.91418,36.61762
"HD 28343",1.336,1.747,1.5735,0.09526,30,1.357,-4.669,1.69,1,0,"HD 28343  ",67.25052,21.9227
"HD 26736",0.3355,0.3845,0.3515,0.01418,28,0.637,-4.413,0.46,1,0,"HD 26736  ",63.63464,23.57494
"HD 29883",0.1711,0.2025,0.1824,0.0083,66,0.851,-4.969,5.0,1,1,"HD 29883  ",70.89765,27.6874
"HD 24365",0.1727,0.1794,0.1757,0.00142,25,0.802,-4.97,5.02,1,0,"HD 24365  ",58.40727,28.14811
"HD 26161",0.1469,0.1544,0.1499,0.00151,63,0.543,-5.032,6.25,1,1,"HD 26161  ",62.4119,31.65213
"HD 281540",0.1978,0.2713,0.2063,0.02088,14,0.878,-4.912,4.06,1,0,"HD 281540 ",61.54901,32.95087
"HD 30708",0.149,0.1553,0.1529,0.00181,22,0.673,-5.05,6.65,1,0,"HD 30708  ",72.87268,35.81514
"HD 34411",0.1425,0.1536,0.1466,9.2E-4,210,0.622,-5.082,7.43,1,0,"HD 34411  ",79.78531,40.09905
"HD 37008",0.1685,0.1963,0.1791,0.00435,117,0.76,-4.938,4.46,1,1,"HD 37008  ",84.54942,51.44574
"HD 25329",0.1667,0.2016,0.1856,0.00877,95,0.891,-4.984,5.27,1,1,"HD 25329  ",60.81249,35.27328
"HD 21313",0.1462,0.1526,0.1501,0.0023,8,0.613,-5.052,6.71,1,0,"HD 21313  ",51.87246,34.80662
"HD 21847",0.2175,0.2365,0.2252,0.00564,19,0.494,-4.644,1.56,1,0,"HD 21847  ",53.16632,35.65929
"HD 23439",0.1718,0.1792,0.1761,9.3E-4,345,0.664,-4.912,4.05,1,0,"HD 23439  ",56.75881,41.42725
"HD 24341",0.1479,0.1516,0.1498,0.00106,14,0.679,-5.072,7.18,1,0,"HD 24341  ",58.7133,52.41986
"HD 30649",0.1683,0.1738,0.1712,0.00129,22,0.543,-4.89,3.74,1,0,"HD 30649  ",72.93156,45.83412
"HD 28005",0.156,0.167,0.1601,0.0026,56,0.675,-5.004,5.66,1,1,"HD 28005  ",66.85293,46.85315
"HD 37394",0.3347,0.4323,0.3734,0.02418,16,0.81,-4.522,0.97,1,0,"HD 37394  ",85.33473,53.48106
"HD 232979",1.464,1.971,1.623,0.07858,86,1.322,-4.601,1.34,1,0,"HD 232979 ",69.42054,52.89361
"HD 34575",0.1505,0.1551,0.1541,0.00128,17,0.715,-5.051,6.69,1,0,"HD 34575  ",80.58236,59.27791
"HD 8574",0.1725,0.1777,0.175,0.00134,34,0.556,-4.873,3.52,1,0,"HD 8574   ",21.30215,28.5667
"HD 12051",0.147,0.1612,0.1585,0.00132,683,0.746,-5.033,6.27,1,0,"HD 12051  ",29.77764,33.20968
"HD 9070",0.1892,0.2075,0.1969,0.00635,19,0.686,-4.83,2.99,1,0,"HD 9070   ",22.46402,31.00734
"HD 8375",0.1729,0.2108,0.1895,0.00991,30,0.838,-4.938,4.46,1,0,"HD 8375   ",20.90613,34.24587
"HD 9826",0.1521,0.1601,0.1553,0.00144,77,0.535,-4.989,5.37,1,0,"HD 9826   ",24.19934,41.40546
"HD 13931",0.1553,0.1628,0.1578,0.0012,57,0.617,-4.999,5.57,1,0,"HD 13931  ",34.19741,43.773
"HIP11048",1.526,2.112,1.721,0.12532,38,1.269,-4.491,0.83,1,0,"HIP11048  ",35.56102,47.88003
"HD 3765",0.1738,0.2254,0.1951,0.01492,299,0.889,-4.953,4.71,1,1,"HD 3765   ",10.20529,40.18717
"HIP1368",1.678,2.073,1.8485,0.10805,20,1.303,-4.515,0.94,1,0,"HIP1368   ",4.27656,40.9483
"HD 1326",0.4334,0.7079,0.5083,0.03827,377,1.317,-5.097,7.82,1,0,"HD 1326   ",4.59535,44.02295
"HD 1326B",0.6515,1.09,0.8186,0.12281,15,1.446,-5.082,7.43,1,0,"HD 1326B  ",4.6076,44.02725
"HD 38B",1.563,1.937,1.754,0.08824,27,1.361,-4.627,1.47,1,0,"HD 38B    ",1.42084,45.81038
"HD 38A",1.601,1.85,1.7555,0.06521,20,1.343,-4.6,1.33,1,0,"HD 38A    ",1.42093,45.8121
"HIP428",1.362,1.833,1.531,0.12047,28,1.29,-4.575,1.21,1,0,"HIP428    ",1.29537,45.78657
"HD 8328",0.1445,0.1463,0.1454,5.0E-4,14,0.674,-5.103,7.97,1,0,"HD 8328   ",20.86892,46.89063
"HD 6872B",0.1866,0.1938,0.1913,0.00186,16,0.456,-4.773,2.43,1,0,"HD 6872B  ",17.52987,51.74276
"HD 6872A",0.1757,0.1814,0.1781,0.00173,12,0.447,-4.838,3.08,1,0,"HD 6872A  ",17.5312,51.74667
"HD 9331",0.1528,0.1572,0.156,0.00133,12,0.701,-5.036,6.34,1,0,"HD 9331   ",23.25903,53.03376
"HD 5372",0.1718,0.1897,0.1799,0.00531,14,0.625,-4.876,3.55,1,0,"HD 5372   ",14.07236,52.49124
"HD 4614",0.1598,0.1651,0.1623,9.9E-4,90,0.552,-4.946,4.6,2,0,"HD 4614   ",12.27623,57.81518
"HD 4614B",1.238,1.728,1.403,0.12362,81,1.247,-4.544,1.07,1,0,"HD 4614B  ",12.27163,57.81783
"GL47",0.8965,1.525,1.0143,0.17601,10,1.358,-4.861,3.36,1,0,"GL47      ",15.33354,61.36574
"HD 20675",0.165,0.1803,0.1714,0.00343,26,0.458,-4.874,3.53,1,0,"HD 20675  ",50.46889,49.0709
"HD 19373",0.1496,0.156,0.152,0.00102,214,0.597,-5.033,6.28,1,0,"HD 19373  ",47.26675,49.61328
"HD 24238",0.1629,0.1698,0.1668,0.00107,86,0.758,-4.993,5.45,1,0,"HD 24238  ",58.76601,61.16681
"HIP16404",0.1414,0.1472,0.1448,0.00207,11,0.575,-5.083,7.46,1,0,"HIP16404  ",52.8225,66.73028
"HD 25665",0.2303,0.3454,0.2751,0.02756,57,0.9,-4.773,2.44,1,1,"HD 25665  ",62.396,69.54139
"HD 9518A",0.1473,0.1514,0.1501,0.00113,14,0.508,-5.022,6.04,1,0,"HD 9518A  ",23.75632,60.77926
"HD 10436",0.846,0.9945,0.9446,0.04331,19,1.142,-4.544,1.07,1,0,"HD 10436  ",25.91968,63.8234
"HD 10780",0.2554,0.3133,0.2706,0.01502,27,0.774,-4.671,1.7,1,0,"HD 10780  ",26.93681,63.8525
"HD 10145",0.1679,0.1769,0.1724,0.0015,27,0.66,-4.929,4.32,1,0,"HD 10145  ",25.40721,66.90994
"GL49",2.403,2.918,2.755,0.13864,13,1.296,-4.33,0.12,1,0,"GL49      ",15.66195,62.34505
"HD 9407",0.153,0.1667,0.1629,0.00131,776,0.669,-4.985,5.3,1,0,"HD 9407   ",23.6386,68.94814
"GL48",0.6912,1.112,0.9089,0.06811,54,1.345,-4.889,3.72,1,0,"GL48      ",15.63431,71.67982
"HD 24451",0.9582,1.23,1.0745,0.08286,12,1.11,-4.436,0.57,1,0,"HD 24451  ",60.33177,76.15937
"HD 7924",0.183,0.247,0.2117,0.01421,998,0.799,-4.842,3.13,1,1,"HD 7924   ",20.49631,76.71029
"HD 10790",0.1683,0.1764,0.1725,0.00198,29,0.77,-4.971,5.03,1,0,"HD 10790  ",27.48572,76.99231
"HD 74156",0.1422,0.1492,0.147,0.00136,104,0.582,-5.067,7.06,1,1,"HD 74156  ",130.60467,4.5781
"HD 76909",0.1432,0.1463,0.1445,9.2E-4,11,0.709,-5.114,8.27,1,0,"HD 76909  ",134.84325,7.41498
"HD 73667",0.1624,0.1788,0.1654,0.00318,58,0.75,-4.997,5.54,1,1,"HD 73667  ",129.96163,11.52267
"HIP47513",1.098,1.481,1.281,0.09176,45,1.327,-4.712,1.96,1,0,"HIP47513  ",145.29317,13.20956
"GL388",6.609,9.377,8.105,0.43208,35,1.354,-3.952,0.0,1,0,"GL388     ",154.90117,19.87
"HD 69809",0.1462,0.1509,0.1479,0.00164,14,0.663,-5.083,7.44,1,0,"HD 69809  ",124.80579,14.20068
"HD 68168",0.1568,0.1605,0.1583,9.0E-4,22,0.66,-5.01,5.8,1,0,"HD 68168  ",122.95495,16.52386
"HD 73344",0.1618,0.1812,0.1737,0.00496,204,0.545,-4.877,3.56,1,0,"HD 73344  ",129.68967,23.6859
"HD 65430",0.1559,0.1631,0.1573,0.0015,38,0.783,-5.048,6.61,1,0,"HD 65430  ",119.89142,20.84393
"HD 67767",0.1514,0.1875,0.1616,0.00938,25,0.793,-5.029,6.19,1,0,"HD 67767  ",122.61325,25.50733
"HD 75732",0.1488,0.2111,0.1689,0.01623,717,0.825,-5.008,5.74,2,1,"HD 75732  ",133.14921,28.33082
"HD 88371",0.1641,0.1669,0.1661,9.5E-4,20,0.602,-4.941,4.51,1,0,"HD 88371  ",152.95029,23.7552
"HD 97101B",1.047,1.581,1.2065,0.15028,38,1.29,-4.679,1.75,1,0,"HD 97101B ",167.76057,30.44481
"HD 97101",0.8993,1.223,1.0375,0.08773,122,1.305,-4.768,2.39,1,0,"HD 97101  ",167.77155,30.44602
"HD 92222A",0.3512,0.3799,0.3568,0.00892,11,0.715,-4.462,0.69,1,0,"HD 92222A ",159.8662,31.70499
"HD 88986",0.1455,0.1542,0.1512,0.00143,66,0.613,-5.044,6.53,1,0,"HD 88986  ",154.11701,28.68248
"HD 86728",0.1435,0.1491,0.1471,0.00102,209,0.663,-5.088,7.58,1,0,"HD 86728  ",150.25274,31.92367
"HD 87836",0.1466,0.1576,0.153,0.00313,10,0.686,-5.052,6.71,1,0,"HD 87836  ",152.1244,33.5146
"HD 87883",0.2191,0.2887,0.2679,0.01934,79,0.902,-4.789,2.58,1,1,"HD 87883  ",152.17975,34.24226
"HD 95735",0.3231,0.6999,0.4663,0.05816,316,1.324,-5.146,9.16,1,0,"HD 95735  ",165.83414,35.96988
"HIP57050",0.6841,1.026,0.8149,0.06597,106,1.441,-5.077,7.31,1,0,"HIP57050  ",175.43598,42.75197
"HD 95128",0.1548,0.1607,0.1593,0.00125,92,0.608,-4.986,5.31,2,0,"HD 95128  ",164.86655,40.43026
"GL412A",0.333,0.5586,0.3775,0.03428,163,1.323,-5.236,11.95,1,0,"GL412A    ",166.36907,43.52677
"HD 102158",0.1585,0.1601,0.1598,5.0E-4,12,0.557,-4.965,4.93,1,0,"HD 102158 ",176.37712,47.66688
"HIP57450",0.1543,0.1568,0.1555,9.4E-4,7,0.633,-5.02,6.0,1,0,"HIP57450  ",176.64648,50.88186
"HD 103829",0.1697,0.1738,0.1718,0.00133,10,0.64,-4.924,4.24,1,0,"HD 103829 ",179.38011,53.55418
"HIP46769",1.11,1.452,1.274,0.07381,36,1.281,-4.64,1.53,1,0,"HIP46769  ",142.98472,36.32023
"HD 89269",0.1594,0.1724,0.1671,0.00278,226,0.643,-4.951,4.68,1,1,"HD 89269  ",154.71645,44.04832
"HD 84035",0.3935,0.5633,0.4603,0.05264,66,1.113,-4.813,2.81,1,1,"HD 84035  ",145.85692,42.69156
"HD 84737",0.1401,0.147,0.1455,0.00102,114,0.606,-5.087,7.55,1,0,"HD 84737  ",147.14738,46.02101
"HD 88230",1.27,1.652,1.44,0.09293,45,1.258,-4.55,1.1,1,0,"HD 88230  ",152.84225,49.45424
"GL397",1.099,1.47,1.283,0.1048,31,1.275,-4.627,1.47,1,0,"GL397     ",157.8509,45.52605
"HD 98618",0.1524,0.156,0.1557,0.00113,14,0.623,-5.016,5.91,1,0,"HD 98618  ",170.37112,58.48436
"HD 65583",0.1603,0.1692,0.1669,0.00104,89,0.644,-4.953,4.71,1,0,"HD 65583  ",120.13387,29.21235
"HD 52711",0.1509,0.164,0.1577,0.00184,248,0.593,-4.991,5.42,1,1,"HD 52711  ",105.87691,29.33708
