Name,FileName,BJD,S,SNR,Decker,Seeing
"HD 185144","bj01.46   ",13237.736,0.2112,55,"B5",1.0
"HD 185144","bj01.47   ",13237.738,0.212,34,"B5",1.1
"HD 185144","bj01.48   ",13237.739,0.2094,28,"B5",1.1
"HD 185144","bj01.49   ",13237.74,0.2118,30,"B5",1.2
"HD 185144","bj01.50   ",13237.74,0.2094,36,"B5",1.0
"HD 185144","bj01.51   ",13237.741,0.2112,43,"B5",1.1
"HD 185144","bj01.52   ",13237.742,0.2113,43,"B5",1.0
"HD 185144","bj01.53   ",13237.742,0.2114,48,"B5",1.1
"HD 185144","bj01.54   ",13237.743,0.2101,52,"B5",1.0
"HD 185144","bj01.55   ",13237.744,0.2115,49,"B5",1.0
"HD 185144","bj01.56   ",13237.744,0.2108,51,"B5",1.1
"HD 185144","bj01.57   ",13237.745,0.2106,50,"B5",1.1
"HD 185144","bj01.58   ",13237.746,0.2101,56,"B5",1.0
"HD 185144","bj01.59   ",13237.746,0.2114,59,"B5",1.0
"HD 185144","bj01.60   ",13237.747,0.2111,57,"B5",1.1
"HD 185144","bj01.61   ",13237.747,0.2107,62,"B5",1.1
"HD 185144","bj01.62   ",13237.748,0.2107,64,"B5",1.1
"HD 185144","bj01.63   ",13237.749,0.2109,68,"B5",1.1
"HD 185144","bj01.64   ",13237.749,0.211,62,"B5",1.2
"HD 185144","bj01.65   ",13237.75,0.2106,78,"B5",1.1
"HD 185144","bj01.66   ",13237.751,0.2104,73,"B5",1.1
"HD 185144","bj01.67   ",13237.751,0.2102,78,"B5",1.2
"HD 185144","bj01.68   ",13237.752,0.2108,83,"B5",1.1
"HD 185144","bj01.69   ",13237.753,0.2106,89,"B5",1.1
"HD 185144","bj01.70   ",13237.753,0.2114,88,"B5",1.1
"HD 185144","bj01.71   ",13237.754,0.2108,97,"B5",1.1
"HD 185144","bj01.72   ",13237.755,0.2109,94,"B5",1.1
"HD 185144","bj01.73   ",13237.757,0.2108,73,"B5",1.1
"HD 185144","bj01.74   ",13237.757,0.21,70,"B5",1.3
"HD 185144","bj01.75   ",13237.758,0.2119,77,"B5",1.0
"HD 185144","bj01.76   ",13237.759,0.2105,73,"B5",1.1
"HD 185144","bj01.78   ",13237.76,0.2104,77,"B5",1.0
"HD 185144","bj01.79   ",13237.761,0.2104,70,"B5",1.2
"HD 185144","bj01.80   ",13237.761,0.2118,72,"B1",1.1
"HD 185144","bj01.81   ",13237.762,0.2118,72,"B1",1.1
"HD 185144","bj01.82   ",13237.763,0.2106,73,"B1",1.0
"HD 185144","bj01.83   ",13237.763,0.2113,71,"B1",1.0
"HD 185144","bj01.84   ",13237.764,0.2121,67,"B1",1.1
"HD 185144","bj01.85   ",13237.765,0.2116,69,"B1",1.1
"HD 185144","bj01.86   ",13237.765,0.2108,67,"B1",1.1
"HD 185144","bj01.168  ",13237.955,0.2107,58,"B1",1.0
"HD 185144","bj01.169  ",13237.956,0.2111,54,"B1",1.1
"HD 185144","bj01.170  ",13237.956,0.2113,57,"B1",1.2
"HD 185144","bj01.171  ",13237.957,0.2113,55,"B1",1.0
"HD 185144","bj01.172  ",13237.957,0.21,60,"B1",1.0
"HD 185144","bj01.382  ",13238.844,0.2116,72,"B5",1.0
"HD 185144","bj01.383  ",13238.844,0.2112,70,"B5",1.1
"HD 185144","bj01.384  ",13238.845,0.2115,74,"B5",1.1
"HD 185144","bj01.385  ",13238.846,0.2121,73,"B1",1.1
"HD 185144","bj01.386  ",13238.846,0.2111,71,"B1",1.1
"HD 185144","bj01.387  ",13238.847,0.2114,71,"B1",1.0
"HD 185144","bj01.679  ",13239.864,0.2122,73,"B5",1.0
"HD 185144","bj01.680  ",13239.865,0.2115,68,"B5",1.1
"HD 185144","bj01.681  ",13239.866,0.2111,70,"B5",1.1
"HD 185144","bj01.682  ",13239.866,0.2125,67,"B1",1.1
"HD 185144","bj01.683  ",13239.867,0.2119,65,"B1",1.1
"HD 185144","bj01.684  ",13239.868,0.2118,67,"B1",1.4
"HD 185144","bj01.1034 ",13240.901,0.2113,67,"B5",1.2
"HD 185144","bj01.1035 ",13240.902,0.2118,70,"B5",1.1
"HD 185144","bj01.1036 ",13240.902,0.2116,71,"B5",1.2
"HD 185144","bj01.1037 ",13240.903,0.2122,65,"B1",1.2
"HD 185144","bj01.1038 ",13240.904,0.2119,65,"B1",1.3
"HD 185144","bj01.1039 ",13240.905,0.2117,68,"B1",1.1
"HD 185144","bj02.114  ",13301.684,0.2119,63,"B5",1.1
"HD 185144","bj02.115  ",13301.685,0.2122,64,"B5",1.2
"HD 185144","bj02.116  ",13301.686,0.2112,62,"B5",1.4
"HD 185144","bj02.529  ",13302.79,0.2118,60,"B5",0.9
"HD 185144","bj02.530  ",13302.791,0.2122,61,"B5",0.9
"HD 185144","bj02.531  ",13302.792,0.2119,61,"B5",1.0
"HD 185144","bj02.922  ",13303.726,0.2113,45,"B5",1.6
"HD 185144","bj02.923  ",13303.73,0.2122,58,"B5",1.3
"HD 185144","bj03.129  ",13338.678,0.212,62,"B5",1.0
"HD 185144","bj03.130  ",13338.679,0.2107,61,"B5",0.9
"HD 185144","bj03.131  ",13338.68,0.2119,55,"B5",1.1
"HD 185144","bj03.132  ",13338.681,0.2114,56,"B5",1.0
"HD 185144","bj03.133  ",13338.682,0.211,53,"B5",1.1
"HD 185144","bj03.534  ",13339.696,0.2116,55,"B5",1.3
"HD 185144","bj03.535  ",13339.697,0.211,55,"B5",1.3
"HD 185144","bj03.536  ",13339.699,0.2117,55,"B5",1.3
"HD 185144","bj07.186  ",13479.144,0.198,37,"B5",0.9
"HD 185144","bj07.187  ",13479.145,0.1986,40,"B5",1.0
"HD 185144","bj07.188  ",13479.146,0.2005,39,"B5",0.9
"HD 185144","bj07.467  ",13480.106,0.2003,61,"B5",1.4
"HD 185144","bj07.468  ",13480.107,0.2006,60,"B5",1.4
"HD 185144","bj07.469  ",13480.107,0.2003,61,"B5",1.4
"HD 185144","bj08.262  ",13547.105,0.198,64,"B5",1.1
"HD 185144","bj08.263  ",13547.106,0.1981,62,"B5",1.1
"HD 185144","bj08.264  ",13547.106,0.1983,60,"B5",1.1
"HD 185144","bj08.265  ",13547.107,0.1981,61,"B5",1.1
"HD 185144","bj08.266  ",13547.107,0.1983,61,"B5",1.0
"HD 185144","bj08.620  ",13548.038,0.1982,63,"B5",1.2
"HD 185144","bj08.621  ",13548.039,0.1992,62,"B5",1.1
"HD 185144","bj08.622  ",13548.04,0.1991,62,"B5",1.3
