Name,Amp,Per,Thresh,Peak1,Peak2
"HD 100180 ",0.1704,3.33,1.76,1.01,0.36
"HD 100623 ",0.207,8.03,2.57,2.88,0.7
"HD 103932 ",0.5085,9.0,1.36,5.49,0.47
"HD 104304 ",0.1643,10.0,2.63,1.96,0.44
"HD 10476  ",0.1977,9.11,1.39,0.86,0.26
"HD 107148 ",0.1607,5.69,2.2,1.32,0.57
"HD 109358 ",0.1674,13.5,1.87,1.09,0.36
"HD 110315 ",0.3774,11.81,1.96,6.39,0.64
"HD 111031 ",0.1496,13.72,1.29,0.53,0.28
"HD 114783 ",0.2055,9.1,2.25,2.01,0.29
"HD 116442 ",0.1686,18.09,2.49,1.84,0.21
"HD 116443 ",0.188,14.24,2.57,2.25,0.25
"HD 122064 ",0.2863,12.81,2.91,11.62,1.06
"HD 122120 ",0.6042,20.86,0.66,1.71,0.52
"HD 125455 ",0.1946,9.87,3.39,5.65,0.57
"HD 126053 ",0.166,17.53,1.82,1.04,0.34
"HD 126614 ",0.1469,16.15,2.24,1.19,0.45
"HD 127334 ",0.1521,16.08,1.52,0.68,0.42
"HD 130992 ",0.3386,3.11,0.71,0.69,0.42
"HD 136713 ",0.332,6.85,1.1,1.3,0.36
"HD 139323 ",0.2467,8.84,2.28,2.57,0.23
"HD 140538A",0.2061,3.96,1.81,1.43,0.29
"HD 14412  ",0.2032,6.15,2.51,2.68,0.63
"HD 144287 ",0.1673,19.29,3.54,4.31,0.56
"HD 145675 ",0.1883,11.2,3.49,4.24,0.21
"HD 145958A",0.1916,7.63,2.27,1.75,0.59
"HD 145958B",0.1868,8.3,1.79,1.15,0.75
"HD 1461   ",0.1632,14.1,1.93,1.09,0.12
"HD 146233 ",0.1735,6.27,3.3,3.87,0.97
"HD 148467 ",0.7626,4.03,0.46,1.12,0.83
"HD 149806 ",0.2244,6.71,2.08,1.99,0.95
"HD 154088 ",0.1634,15.2,3.8,4.92,1.65
"HD 154345 ",0.232,6.95,2.82,5.58,0.4
"HD 154363 ",0.5312,9.53,1.38,5.18,0.72
